HEROP_ID,OdMortRtAv
050US05109,19.56
050US05111,19.92
050US05113,19.52
050US05115,14.78
050US05117,14.74
050US05119,16.96
050US05121,19.24
050US05123,14.74
050US05125,19.5
050US05127,23.36
050US05129,19.48
050US05131,18
050US05133,21.34
050US05135,22.8
050US05137,17.82
050US05139,15.6
050US05141,17.5
050US05143,9.84
050US05145,15.54
050US05147,16.5
050US05149,17.9
050US06001,11.72
050US06003,24.8
050US06005,26.34
050US06007,28.36
050US06009,23.04
050US06011,19.9
050US06013,12.32
050US06015,22.26
050US06017,21.4
050US06019,13.6
050US06021,22.64
050US06023,33.6
050US06025,17.88
050US06027,22.84
050US06029,25.2
050US06031,12.92
050US06033,48.28
050US06035,32.88
050US06037,9.4
050US06039,15
050US06041,14.98
050US06043,22.96
050US06045,30.66
050US06047,14.72
050US06049,28.14
050US06051,19.06
050US06053,12.86
050US06055,13.7
050US06057,20.42
050US06059,12.7
050US06061,14.02
050US06063,30.44
050US06065,16.58
050US06067,17.4
050US06069,13
050US06071,8.86
050US06073,14.02
050US06075,27.6
050US06077,17.18
050US06079,17.18
050US06081,10.32
050US06083,16.3
050US06085,9.02
050US06087,17.92
050US06089,23.9
050US06091,29.98
050US06093,23.7
050US06095,15.04
050US06097,16.44
050US06099,16.08
050US06101,14.72
050US06103,17.2
050US06105,27.16
050US06107,10.58
050US06109,28.64
050US06111,15.58
050US06113,13.3
050US06115,16.32
050US08001,
050US08003,26.6
050US08005,16.42
050US08007,24.8
050US08009,21.7
050US08011,23.48
050US08013,16.06
050US08014,
050US08015,20.56
050US08017,16.24
050US08019,19.02
050US08021,36.36
050US08023,32.78
050US08025,21.16
050US08027,25.92
050US08029,18.8
050US08031,21.68
050US08033,22.18
050US08035,10.48
050US08037,13.2
050US08039,15.54
050US08041,24.64
050US08043,23.82
050US08045,17.1
050US08047,20.36
050US08049,18.14
050US08051,19.56
050US08053,22.5
050US08055,36.46
050US08057,19.98
050US08059,
050US08061,18.62
050US08063,15.96
050US08065,19
050US08067,17.58
050US08069,15.68
050US08071,33.88
050US08073,18.08
050US08075,17.08
050US08077,20.04
050US08079,25.28
050US08081,21.9
050US08083,21.38
050US08085,17.28
050US08087,15.86
050US08089,24.84
050US08091,20.44
050US08093,18.76
050US08095,15.18
050US08097,16.9
050US08099,19.6
050US08101,28.38
050US08103,21.32
050US08105,31.84
050US08107,18.48
050US08109,24.84
050US08111,22.04
050US08113,20.8
050US08115,16.4
050US08117,14.24
050US08119,19.34
050US08121,15.74
050US08123,
050US08125,14.6
050US09001,17.96
050US09003,30.92
050US09005,30.08
050US09007,27.66
050US09009,31.26
050US09011,32.78
050US09013,21.68
050US09015,31.6
050US10001,26.72
050US10003,35.3
050US10005,30.64
050US11001,34.64
050US12001,12.38
050US12003,22.4
050US12005,22.7
050US12007,22.68
050US12009,38.16
050US12011,23.96
050US12013,17.74
050US12015,10.78
050US12017,29.96
050US12019,26.14
050US12021,17.66
050US12023,21.14
050US12027,16.38
050US12029,26.78
050US12031,35.58
050US12033,21.22
050US12035,18.3
050US12037,23.66
050US12039,10.34
050US12041,20.36
050US12043,20.94
050US12045,22.92
050US12047,18.16
050US12049,16.78
050US12051,18.18
050US12053,24.78
050US12055,20.02
050US12057,17.46
050US12059,19.46
050US12061,20.92
050US12063,13.34
050US12065,15.48
050US12067,22.04
050US12069,18.66
050US12071,24.98
050US12073,9.16
050US12075,22.48
050US12077,16.62
050US12079,15.42
050US12081,34.42
050US12083,30.7
050US12085,24.72
050US12086,10.16
050US12087,28.22
050US12089,24.16
050US12091,22.48
050US12093,26.38
050US12095,17.56
050US12097,17.92
050US12099,32.32
050US12101,30.58
050US12103,29.28
050US12105,19.72
050US12107,18.48
050US12109,14.2
050US12111,24.6
050US12113,18.48
050US12115,25.12
050US12117,19.06
050US12119,14.94
050US12121,16.94
050US12123,18.54
050US12125,21.02
050US12127,26.56
050US12129,16.26
050US12131,18.64
050US12133,19.08
050US13001,16.86
050US13003,17.96
050US13005,20.48
050US13007,11.78
050US13009,11.64
050US13011,21.3
050US13013,17.82
050US13015,20.46
050US13017,14.5
050US13019,14.52
050US13021,12.4
050US13023,15.66
050US13025,22.76
050US13027,12.26
050US13029,12.88
050US13031,9.76
050US13033,15.2
050US13035,19.08
050US13037,11.08
050US13039,16.48
050US13043,13.74
050US13045,23.16
050US13047,23.84
050US13049,20.76
050US13051,12.9
050US13053,12.18
050US13055,22.6
050US13057,17.64
050US13059,13.16
050US13061,13.02
050US13063,10.52
050US13065,16.58
050US13067,15.98
050US13069,17.86
050US13071,11.6
050US13073,14.62
050US13075,13.44
050US13077,14.16
050US13079,17.86
050US13081,12.12
050US13083,21.18
050US13085,21.42
050US13087,11.8
050US13089,11.06
050US13091,16.92
050US13093,12.9
050US13095,11.18
050US13097,17.16
050US13099,12.24
050US13101,16.46
050US13103,12.04
050US13105,18.82
050US13107,13.96
050US13109,13.04
050US13111,25.14
050US13113,12.5
050US13115,18.76
050US13117,13.02
050US13119,26.34
050US13121,15.5
050US13123,21.66
